Specimen	SSU	EF1A_1	EF1A_2	COX1	Clade
Sc29851	25	36	36	27	Hb
Sc29855	25	36	36	27	Hb
Sc29856	25	36	36	27	Hb
Sc29859	25	36	36	27	Hb
Sc29860	25	36	36	27	Hb
Sc29862	25	36	36	27	Hb
Sc29890	25	36	36	27	Hb
Sc29891	21	36	36	27	Hb
Sc29847	21	36	36	27	Hb
Sc29840	25	36	81	27	Hb
Sc29839	21	36	36	27	Hb
Sc29845	21	36	36	27	Hb
Sc30001	24	36	83	27	Hb
Sc29976	21	36	81	27	Hb
Sc29977	21	36	81	27	Hb
